"I used to be with it. But then they changed what it was. Now what I'm with isn't it, and what's it seems scary and wierd. It'll happen to you.",Abe Simpson
Thank you. Come again.,Apu Nahasapeemapetilon
Yeah. Call this an unfair generalization if you must.. but old people are no good at everything,Moe Szyslak
Yeah. Call this an unfair generalization if you must.. but old people are no good at everything,Moe Szyslak
Nothing you say can upset us. We're the MTV generation.,Bart Simpson
They taste like...burning.,Ralph Wiggum
